island_config_index,ferry_capacity,ferry_base_price,ferry_travel_time,speedboat_base_price,speedboat_travel_time,result
0.28125,750.53125,5.21875,65.96875,3.53125,96.90625,0.4298867676120307
1.59375,750.53125,5.21875,65.96875,3.53125,96.90625,0.2909130822234973
0.28125,1350.15625,5.21875,65.96875,3.53125,96.90625,0.46525241648259386
0.28125,750.53125,5.21875,65.96875,3.53125,96.90625,0.4418038675268126
0.28125,750.53125,5.21875,16.46875,3.53125,96.90625,0.5691555046065779
0.28125,750.53125,5.21875,65.96875,1.84375,96.90625,0.38647557456919823
0.28125,750.53125,5.21875,65.96875,3.53125,41.21875,0.35487338352502873
0.28125,1350.15625,5.21875,16.46875,1.84375,41.21875,0.4667601170381987
1.59375,750.53125,5.21875,16.46875,1.84375,41.21875,0.324509088117609
1.59375,1350.15625,5.21875,16.46875,1.84375,41.21875,0.3641177300865493
1.59375,1350.15625,5.21875,65.96875,1.84375,41.21875,0.07438690497896004
1.59375,1350.15625,5.21875,16.46875,3.53125,41.21875,0.5775075016729571
1.59375,1350.15625,5.21875,16.46875,1.84375,96.90625,0.6092447743245495
1.59375,1350.15625,5.21875,16.46875,1.84375,41.21875,0.35808732581810104
